jumpHeight,takeOffVelocity,bodyWeight,pushOffDistance,maxPower,maxPowerRelative,slope,slopeRelative
0.275406617,2.324538194,90,0.35,2315.799066,25.73110073,-3465.656483,-38.50729426
0.211162142,2.035436374,70,0.35,1029.899989,14.71285698,-1104.079738,-15.77256769
0.194929835,1.955638864,75,0.35,1036.450082,13.81933443,-1070.015146,-14.26686862
0.179555944,1.8769357,80,0.35,1045.455045,13.06818806,-1034.166851,-12.92708563
0.164992577,1.799209373,85,0.35,1056.83685,12.43337471,-996.7187375,-11.72610279
0.152175045,1.727910408,90,0.35,1073.80339,11.93114877,-951.5971119,-10.57330124
0.262736235,2.270437168,70,0.35,1286.820494,18.38314991,-1491.272954,-21.30389935
0.246395504,2.19869957,75,0.35,1284.327572,17.12436762,-1479.62611,-19.72834813
0.230892021,2.128403496,80,0.35,1286.991638,16.08739548,-1454.769206,-18.18461508
0.216165204,2.059407999,85,0.35,1286.116376,15.1307809,-1440.975765,-16.95265605
0.204206469,2.001632065,90,0.35,1293.72744,14.37474933,-1402.035808,-15.57817564
0.303456007,2.440042388,70,0.35,1550.24183,22.14631185,-1841.765718,-26.31093883
0.285693427,2.367552542,75,0.35,1548.355833,20.64474444,-1833.352369,-24.44469825
0.272109551,2.310582046,80,0.35,1549.013196,19.36266495,-1809.764125,-22.62205156
0.259017756,2.254313284,85,0.35,1548.609132,18.21893096,-1811.16607,-21.30783612
0.246395504,2.19869957,90,0.35,1549.4418,17.21602,-1781.267267,-19.79185852
0.334240079,2.560818298,70,0.35,1813.763287,25.91090409,-2150.32423,-30.71891757
0.3217418,2.512483654,75,0.35,1814.214171,24.18952228,-2149.802657,-28.66403543
0.306201465,2.451055434,80,0.35,1810.218018,22.62772522,-2152.63902,-26.90798775
0.294663852,2.404434399,85,0.35,1813.857063,21.33949486,-2110.485466,-24.82924078
0.280302067,2.345106937,90,0.35,1808.388024,20.09320026,-2150.682505,-23.89647228
0.359002414,2.6539833,70,0.35,2070.547327,29.57924752,-2436.154927,-34.80221324
0.34843204,2.614619788,75,0.35,2074.394061,27.65858748,-2472.39375,-32.96525
0.334240079,2.560818298,80,0.35,2068.805176,25.8600647,-2452.513638,-30.65642047
0.320433711,2.507371016,85,0.35,2072.536598,24.3827835,-2462.87159,-28.97495989
0.310924059,2.46988462,90,0.35,2072.104604,23.02338449,-2477.641618,-27.52935131
0.380923691,2.733811044,70,0.35,2320.740625,33.1534375,-2740.999562,-39.1571366
0.367592291,2.68554664,75,0.35,2320.644134,30.94192179,-2728.474997,-36.37966663
0.358917013,2.653667613,80,0.35,2331.101167,29.13876458,-2758.901561,-34.48626951
